iter	PRAUC	Logloss	PRAUC:use_weights=true	PRAUC:use_weights=false
0	0.9769766369	0.5948653458	0.9769766369	0.4244650556
1	0.9824496777	0.5245602438	0.9824496777	0.6450658528
2	0.982963474	0.4572327998	0.982963474	0.644894795
3	0.9828331495	0.4116129655	0.9828331495	0.6220747486
4	0.9843336567	0.3777536417	0.9843336567	0.6056933884
5	0.985009448	0.3416779778	0.985009448	0.6391104418
6	0.9862792408	0.3076860151	0.9862792408	0.6530060271
7	0.9865429304	0.2885768232	0.9865429304	0.6638919059
8	0.9865036007	0.2711697943	0.9865036007	0.6603952775
9	0.9868542565	0.2532797005	0.9868542565	0.6653031982
10	0.9872891733	0.243140104	0.9872891733	0.7007349701
11	0.9880810472	0.227632821	0.9880810472	0.7159436485
12	0.9881388108	0.216756479	0.9881388108	0.709451442
13	0.9884455575	0.2057420878	0.9884455575	0.7055360549
14	0.9883371523	0.2008819547	0.9883371523	0.7007919309
15	0.9884215115	0.1941835452	0.9884215115	0.6989004371
16	0.9891217447	0.1860001236	0.9891217447	0.6988295266
17	0.9891257896	0.1811933313	0.9891257896	0.6998163358
18	0.9897636486	0.1738055224	0.9897636486	0.6969347997
19	0.9898497606	0.1704203013	0.9898497606	0.6934992491
20	0.9903668683	0.1648712684	0.9903668683	0.6962602878
21	0.9906787908	0.1592342025	0.9906787908	0.6928144585
22	0.9906909533	0.1562283063	0.9906909533	0.6908591988
23	0.991447215	0.1505870632	0.991447215	0.7159853534
24	0.9914343689	0.1487049734	0.9914343689	0.7146267379
25	0.9914100787	0.1468856706	0.9914100787	0.7042470205
26	0.9914043142	0.1449507495	0.9914043142	0.6954025716
27	0.9915154589	0.1427561153	0.9915154589	0.6990911671
28	0.9916830524	0.1400459276	0.9916830524	0.7003490711
29	0.9918290917	0.1381309294	0.9918290917	0.7008187527
30	0.9920010757	0.1351379234	0.9920010757	0.6993487759
31	0.9920846453	0.1345562936	0.9920846453	0.701739484
32	0.9922138807	0.1327928395	0.9922138807	0.7012613595
33	0.992353259	0.1313587075	0.992353259	0.7021002542
34	0.992447589	0.1304825539	0.992447589	0.7030365663
35	0.9924694146	0.1302939943	0.9924694146	0.7037333334
36	0.9925805306	0.1294279805	0.9925805306	0.706192815
37	0.9925977312	0.1292625291	0.9925977312	0.7066654448
38	0.9928646846	0.1267371933	0.9928646846	0.7208173927
39	0.9929434693	0.1258395974	0.9929434693	0.7213621839
40	0.9929279582	0.125037436	0.9929279582	0.7177992976
41	0.993069024	0.1232642381	0.993069024	0.7197400878
42	0.9930557106	0.1226909933	0.9930557106	0.717212187
43	0.9932732327	0.1200664736	0.9932732327	0.7173045481
44	0.9933739695	0.1184651409	0.9933739695	0.7191261564
45	0.9933986131	0.1182566575	0.9933986131	0.7197044639
46	0.9933995	0.1181364816	0.9933995	0.7197710268
47	0.9933953995	0.1174245228	0.9933953995	0.716202294
48	0.9934168036	0.1172249992	0.9934168036	0.716389139
49	0.9934641282	0.1167755078	0.9934641282	0.7164037411
50	0.9934655565	0.116744213	0.9934655565	0.716451477
51	0.9934912767	0.1159966256	0.9934912767	0.7149262739
52	0.9938949999	0.1137100181	0.9938949999	0.7351686649
53	0.9939120153	0.1135293776	0.9939120153	0.735209152
54	0.993953866	0.1129763352	0.993953866	0.7350964109
55	0.993915123	0.1127094869	0.993915123	0.7319412149
56	0.9940459661	0.1110732114	0.9940459661	0.7352503263
57	0.994094021	0.1106072989	0.994094021	0.7358625254
58	0.9941973563	0.109549878	0.9941973563	0.7383327986
59	0.9942805548	0.1088299497	0.9942805548	0.73985108
60	0.9942858412	0.1087711975	0.9942858412	0.7398851415
61	0.9943127444	0.1084800435	0.9943127444	0.7402763451
62	0.9943646171	0.1081023618	0.9943646171	0.7420195759
63	0.9946171589	0.1063112785	0.9946171589	0.7531693064
64	0.9946683735	0.1058999922	0.9946683735	0.7550770324
65	0.9947809153	0.1045459325	0.9947809153	0.7600011399
66	0.9948826427	0.1035425695	0.9948826427	0.7627394127
67	0.9949248805	0.1030631096	0.9949248805	0.7630611524
68	0.9950258551	0.1016930015	0.9950258551	0.764871519
69	0.9950690771	0.1011746592	0.9950690771	0.7654410264
70	0.9951295766	0.1004629797	0.9951295766	0.7658546688
71	0.9951557501	0.1002907261	0.9951557501	0.7681211209
72	0.9951854431	0.09966816753	0.9951854431	0.7698709905
73	0.9952135625	0.09937588664	0.9952135625	0.7702642794
74	0.9952463879	0.0990229771	0.9952463879	0.7705167967
75	0.9953252112	0.09831751435	0.9953252112	0.7735853906
76	0.9953621356	0.09795708322	0.9953621356	0.7745928636
77	0.9953692563	0.0978983794	0.9953692563	0.7747929829
78	0.995371827	0.09786329219	0.995371827	0.7747795453
79	0.9954559397	0.09716312078	0.9954559397	0.778349196
80	0.9955160894	0.09632449695	0.9955160894	0.7787389751
81	0.9955577183	0.09596372127	0.9955577183	0.7803846059
82	0.9955789831	0.0957811527	0.9955789831	0.7811241654
83	0.9956006694	0.09558170445	0.9956006694	0.7816527864
84	0.9956810544	0.09401678569	0.9956810544	0.7819370632
85	0.9957291306	0.09348110938	0.9957291306	0.7828107506
86	0.9957291306	0.09347655947	0.9957291306	0.7828107506
87	0.9957532332	0.09322540376	0.9957532332	0.7833844715
88	0.9957535322	0.09321651565	0.9957535322	0.7834114753
89	0.9957653071	0.09307066997	0.9957653071	0.7838413666
90	0.9957936489	0.0927732556	0.9957936489	0.7843028182
91	0.9958545108	0.09219717062	0.9958545108	0.7875329364
92	0.9959049799	0.09135538388	0.9959049799	0.7879663932
93	0.9959985526	0.09049155652	0.9959985526	0.7904261504
94	0.9960994795	0.08957465869	0.9960994795	0.795522323
95	0.9961363441	0.08915338541	0.9961363441	0.7963751988
96	0.9961584154	0.08894370033	0.9961584154	0.7967150637
97	0.9962009567	0.0883616426	0.9962009567	0.7974214083
98	0.9962079336	0.08829664909	0.9962079336	0.7976428499
99	0.9964544877	0.08589474223	0.9964544877	0.8092072467
100	0.9964913175	0.08564908765	0.9964913175	0.8114592744
101	0.9965542263	0.08457234773	0.9965542263	0.8126283448
102	0.9965639893	0.08451016582	0.9965639893	0.813350551
103	0.9965699906	0.08445514161	0.9965699906	0.813566328
104	0.9965837246	0.08431456047	0.9965837246	0.8140232248
105	0.9965908926	0.08423822421	0.9965908926	0.8142812405
106	0.9966184973	0.08379093606	0.9966184973	0.8145399214
107	0.9966463109	0.08349985374	0.9966463109	0.8150100715
108	0.9966472598	0.08349248659	0.9966472598	0.8151092027
109	0.9966759745	0.08317984457	0.9966759745	0.8167178095
110	0.9966765666	0.0831476454	0.9966765666	0.8167691093
111	0.9967149766	0.08254378326	0.9967149766	0.8172334051
112	0.9968333526	0.08119778343	0.9968333526	0.8233182491
113	0.9968455374	0.08107619675	0.9968455374	0.8234758209
114	0.9968603282	0.08090810038	0.9968603282	0.823870199
115	0.9968735925	0.08076462236	0.9968735925	0.8240618559
116	0.9968735925	0.0807646082	0.9968735925	0.8240618559
117	0.9968969597	0.08034067255	0.9968969597	0.8243711216
118	0.9968996375	0.08031190371	0.9968996375	0.8244924209
119	0.9969138555	0.08014409692	0.9969138555	0.8248395894
120	0.9969186031	0.08008010953	0.9969186031	0.8248938895
121	0.9969266283	0.08002992708	0.9969266283	0.8253359339
122	0.9969334075	0.07999388505	0.9969334075	0.8263006792
123	0.9969414989	0.07990555069	0.9969414989	0.8263816234
124	0.9970067039	0.07904792784	0.9970067039	0.8280157203
125	0.9970089648	0.07901135874	0.9970089648	0.8280093981
126	0.9971001415	0.07794720894	0.9971001415	0.8327644142
127	0.9971332464	0.07709134371	0.9971332464	0.8336526913
128	0.9971395965	0.07702105102	0.9971395965	0.834071143
129	0.9971799584	0.07670136409	0.9971799584	0.8371916191
130	0.9971895897	0.07659498266	0.9971895897	0.8373220523
131	0.9972092621	0.07622459887	0.9972092621	0.8376543535
132	0.9972694558	0.07553709377	0.9972694558	0.8404132669
133	0.9973100453	0.07464748963	0.9973100453	0.8408255387
134	0.9973279488	0.07421481694	0.9973279488	0.8413867211
135	0.9973320398	0.07416455135	0.9973320398	0.8414431541
136	0.997375921	0.07367267552	0.997375921	0.8426171902
137	0.9973964873	0.07341779653	0.9973964873	0.8430888277
138	0.9974269656	0.07309384573	0.9974269656	0.8438126373
139	0.9974439907	0.07290933136	0.9974439907	0.8444335672
140	0.9975316265	0.07174553758	0.9975316265	0.8489536523
141	0.9975607279	0.07136027575	0.9975607279	0.8507004994
142	0.9975733	0.07106684268	0.9975733	0.8507339513
143	0.9976283623	0.07036444906	0.9976283623	0.8534942066
144	0.9976389239	0.0702204488	0.9976389239	0.8539597621
145	0.9976929513	0.06952882018	0.9976929513	0.8566763783
146	0.9977032773	0.06938927971	0.9977032773	0.85693871
147	0.9976921805	0.06934421588	0.9976921805	0.8557942648
148	0.9977026019	0.06922968036	0.9977026019	0.8561912431
149	0.9977197054	0.06878634054	0.9977197054	0.8564472267
150	0.9977326078	0.06867183906	0.9977326078	0.8568482101
151	0.997733069	0.06866560432	0.997733069	0.8568532048
152	0.997735592	0.06863194349	0.997735592	0.8568723992
153	0.9977695247	0.06810438854	0.9977695247	0.8582151128
154	0.9977695247	0.06810436858	0.9977695247	0.8582151128
155	0.9977757514	0.06801839267	0.9977757514	0.858415636
156	0.9978446823	0.06705168507	0.9978446823	0.8621772001
157	0.997856462	0.06690378969	0.997856462	0.8624262182
158	0.9979308354	0.06586523975	0.9979308354	0.8665787468
159	0.9979394572	0.06574373205	0.9979394572	0.8667810063
160	0.9979500089	0.06558940811	0.9979500089	0.8669014365
161	0.997954897	0.06548985221	0.997954897	0.8669512688
162	0.9979637419	0.06539494205	0.9979637419	0.8676088213
163	0.9979722779	0.06527421721	0.9979722779	0.8678419678
164	0.9979797643	0.06518064324	0.9979797643	0.8680858809
165	0.9979801787	0.06517726649	0.9979801787	0.8680950688
166	0.997980724	0.06517030805	0.997980724	0.8681237305
167	0.997983248	0.06513479834	0.997983248	0.8682058986
168	0.9979833684	0.06513222517	0.9979833684	0.8682053858
169	0.997989513	0.06504412994	0.997989513	0.8683012535
170	0.9980025417	0.06468669803	0.9980025417	0.8686570056
171	0.9980102938	0.06456764549	0.9980102938	0.8687393183
172	0.9980296303	0.06423187426	0.9980296303	0.8694692496
173	0.9980510447	0.06394796432	0.9980510447	0.8704938416
174	0.9981253036	0.06310239835	0.9981253036	0.8764094714
